customer_id,predicted_ltv_12m
38735,477.7175
27865,343.80942
29143,387.85733
20579,293.00677
14874,319.82474
48628,368.22
14174,460.92792
27091,598.3467
43947,447.16446
14076,552.65204
11313,516.0386
24015,560.7841
22732,578.28827
5809,355.7401
46376,417.328
31708,429.49847
12695,350.57547
47396,599.5662
14858,385.02554
471,348.00452
18943,384.7639
3222,509.603
20168,558.9636
47155,360.8684
3035,481.42218
15298,298.6019
43867,653.0575
34662,365.7517
44449,567.69604
28049,580.7269
1682,406.986
10820,382.0843
48655,411.78024
44744,744.318
12648,539.91907
40853,294.7241
10803,476.77588
5231,277.7468
9086,426.0298
43339,618.339
20798,453.20575
28749,506.66956
376,491.51898
43436,294.2504
45231,398.23438
19085,291.8043
4413,449.83618
21194,197.36621
3539,591.3612
14446,467.66983
20524,523.2375
774,246.2732
44455,747.14734
18956,440.51474
17802,284.84055
41861,485.9906
41543,337.04218
40359,387.61633
4826,426.68393
6206,578.9209
29169,541.63
19306,466.6521
10480,422.58905
16248,501.67795
19052,804.84985
52,463.9867
1846,508.20834
16463,442.57938
29552,412.67877
29930,457.7755
9851,406.11014
36616,366.88983
14623,497.35315
4704,204.5898
2807,491.84296
14128,506.95068
22201,453.69635
19421,409.15427
9027,380.04333
40340,426.863
31800,589.6807
11597,390.9326
9803,276.7231
37072,609.0889
15359,567.16943
25276,486.03146
3780,402.3686
41768,505.3114
27485,643.97626
20296,465.62256
37082,434.5735
6526,653.08655
32594,472.1211
8326,535.0047
46745,458.68494
29920,320.02734
23858,583.1703
29496,654.75073
36602,574.19995
15767,426.75366
35930,416.49127
297,596.97845
40933,295.53333
11035,336.48636
17518,340.748
308,636.5879
40171,497.61438
45194,518.29785
34065,302.4184
18719,364.11237
14100,519.21985
25918,342.27896
14029,446.8882
14971,400.83105
42355,493.18924
1850,330.46466
10092,517.06616
9059,402.404
8171,434.6046
31077,471.5342
30937,413.94434
457,483.375
29167,445.86597
34403,663.5811
34026,546.2707
1453,311.52536
5771,226.09172
37735,439.45093
14148,468.12952
11208,543.6385
44072,453.48242
1549,644.49744
34356,508.86166
10855,514.6317
44624,460.02197
20023,548.71533
3168,544.7452
2385,512.54724
38443,696.5745
44015,421.31503
24814,490.49
44419,316.68042
11342,657.6576
20072,365.458
24132,512.0367
14061,323.5415
8145,354.89023
12290,399.92023
44800,435.79895
40436,401.94296
33846,390.27063
18843,443.62018
3529,322.91245
39304,300.77032
44838,801.7464
17476,469.10092
43688,404.00583
26494,683.7865
43124,580.04553
45315,456.71793
47163,450.24094
3219,566.12976
8375,393.6573
34431,555.63586
23981,413.47308
6267,540.61383
1465,445.28143
48233,327.39874
38082,406.23865
33281,559.9511
12993,838.9651
6935,623.2233
31365,467.9685
10949,403.74
98,402.91675
14237,480.49008
45071,445.3161
36315,345.5198
6555,335.6835
21905,684.17255
21130,455.07764
13732,450.14435
33140,354.94574
23845,484.15793
3732,425.6732
25195,457.08258
3707,469.75436
9026,486.62845
37518,354.13705
21981,449.48547
46905,425.96097
20777,314.4145
23277,389.73367
12768,520.4166
23558,551.3618
37924,699.8399
31518,431.08636
31257,443.46185
31537,450.52118
48080,493.00287
33052,484.9762
1985,395.76855
28486,697.62805
43318,532.9642
41496,387.60968
20549,676.59644
41693,410.30096
44993,396.77826
37762,418.45837
18874,389.48053
8337,427.4565
3494,437.3672
10111,446.12964
6352,591.1237
46383,441.00366
32976,408.5332
6420,483.27292
39364,682.4578
40148,684.1023
46610,397.2867
15695,376.18866
40726,396.62958
29010,364.6094
24447,426.46106
11910,732.6195
31404,484.20792
37830,440.10776
38144,368.86423
32135,479.82333
2996,461.2783
26934,534.05145
15868,446.23325
30592,457.6432
32100,381.08823
22639,479.56708
44297,428.03387
12909,501.65182
13597,358.58725
13399,539.86487
24750,372.3468
43505,557.92084
34541,524.6297
6319,453.88678
16379,511.42377
5159,593.89465
29740,597.44226
7456,558.83734
277,517.36743
30076,456.02527
26214,520.79016
10074,259.23123
2052,503.60712
15107,550.72003
17012,517.9097
29211,408.64102
25593,560.6049
47002,362.2061
23810,418.36496
13377,622.8359
43973,488.1683
12733,348.09222
39955,393.17792
22332,547.5778
42350,461.8979
11416,415.45892
20201,185.95248
2445,487.97076
6425,242.61237
26511,524.9087
18605,405.2096
28219,507.26807
24840,353.1966
40751,430.7348
39987,424.16928
24621,761.8767
409,569.48425
30359,344.22467
34465,394.4881
8889,379.03442
36384,457.70596
21816,450.62753
31545,609.3069
11028,468.11856
6146,628.86237
19185,457.2532
41485,349.2669
42310,508.37152
20814,494.02792
4766,297.77332
588,419.6058
31931,385.7605
42553,452.96
8934,404.99023
16889,437.28214
31869,473.4314
9025,384.0323
15607,469.98428
4546,397.98584
47299,356.27838
35305,252.93405
46536,592.0675
33088,469.60895
19658,730.6
25374,441.17776
46911,459.57968
44998,362.85995
27660,739.821
40625,389.1513
22035,393.57037
32984,523.062
29314,421.26108
25872,270.95837
30018,481.56622
23269,481.80005
20844,487.555
37452,375.89667
6179,367.85242
13909,714.55
36748,415.88452
11195,547.3001
26448,704.0852
7361,396.8549
47887,280.52966
46028,566.61615
22690,504.61148
19819,434.79285
21081,549.58966
11808,475.45795
42972,416.47534
21091,384.66107
20949,465.35364
43852,428.09564
47402,315.0185
7298,467.18356
39309,466.00452
4768,423.64896
5386,476.6349
13641,453.63696
45524,557.0069
20850,378.86267
29843,385.0526
1077,529.77246
48108,468.66647
33526,699.1271
18087,328.43295
10465,394.73785
21255,433.59943
15757,533.737
19857,545.32086
34711,429.55164
26191,481.4988
14009,508.372
48221,524.37933
3875,464.07562
22698,401.17725
9804,480.0584
39330,487.9985
14966,410.55188
11376,603.88354
26351,526.47485
44661,373.1914
42353,622.4469
45437,422.30737
27148,552.143
673,332.32892
33874,393.91708
1822,319.9447
35372,564.7352
18828,354.6222
38470,445.98593
25504,489.55298
18606,358.38788
34891,554.7636
41225,669.8534
2059,472.90842
11790,374.95343
14200,476.63876
42475,369.25458
28501,435.4346
45770,520.616
3030,809.4923
20026,435.679
5533,429.0914
25749,449.97464
7685,606.08856
20787,560.36743
24521,414.38617
42104,410.84088
2943,574.5915
24697,461.206
21115,562.1444
45927,383.44833
5476,516.4307
34041,515.37823
34468,457.91687
43373,519.7785
3125,380.82123
20938,384.7497
26388,665.2399
44670,521.32764
28587,400.43634
6186,465.60876
22937,350.68646
37176,488.75433
8489,409.98886
45399,435.9031
27664,422.311
14646,351.64917
35255,638.3705
44671,419.8881
460,465.1942
43330,449.61438
44665,585.27155
43446,410.17194
32889,471.08984
36868,481.6921
7515,381.0232
32758,520.882
6328,567.9008
46462,457.753
42317,363.4924
43429,395.45764
8957,428.6474
682,533.3368
10113,528.9443
21063,534.44965
342,415.41248
15226,365.23596
44830,489.68304
20005,617.7944
13206,500.6225
30965,331.62823
46602,426.98218
8718,386.08575
26882,445.30078
9235,316.49158
10365,459.4308
14981,459.53662
28348,466.30167
42632,458.72067
47331,405.72168
15392,454.11328
29292,610.25397
25896,451.7859
7743,540.2175
35082,453.31104
14384,412.94278
13424,437.08908
38033,295.3876
39283,482.85284
15158,471.9934
31338,531.2645
3243,407.26917
21025,478.31775
32748,447.71292
4009,385.1846
34124,430.22147
9976,490.25592
39406,385.6449
11902,419.60883
30402,378.06418
46796,620.18896
10003,475.7052
21579,380.9771
5421,498.8868
39759,584.7426
36216,615.2732
36910,533.67194
47924,428.78757
33131,514.34436
12512,601.4975
9501,448.9818
15056,520.2257
27515,496.2802
17155,530.62103
18107,482.88608
47810,409.6578
33193,476.5101
2442,421.70386
13624,463.35742
5861,630.8273
25975,317.90857
42984,383.81387
30155,649.6576
41417,308.1266
11625,433.8712
38954,377.59396
11658,510.34662
20134,340.9904
29438,558.96545
29595,519.0978
13263,433.92636
22533,251.7509
5304,429.25632
27311,414.88266
2237,458.22925
48143,539.5181
6346,483.43875
4241,496.01755
40939,425.3787
11594,464.88864
38301,476.21738
377,537.7511
